#{"t_start": 1707951265.1999075, "env_id": "None"}
r,l,t
-43.00967,490,1183.944029
-43.00967,490,1183.94404
-43.00967,490,1183.94405
-43.00967,490,1183.944061
-43.00967,490,1183.944076
-43.00967,490,1183.944087
-43.00967,490,1183.944097
-43.00967,490,1183.944108
-43.00967,490,1183.944118
-43.00967,490,1183.944129
-43.00967,490,1183.944139
-43.00967,490,1183.94415
-43.00967,490,1183.944161
-43.00967,490,1183.944172
-43.00967,490,1183.944183
-43.00967,490,1183.944193
-43.00967,490,1183.944204
-43.00967,490,1183.944214
-43.00967,490,1183.944225
-43.00967,490,1183.944236
-43.00967,490,1183.944246
-43.00967,490,1183.944257
-43.00967,490,1183.944267
-43.00967,490,1183.944278
-43.00967,490,1183.944288
-43.00967,490,1183.944299
-43.00967,490,1183.944309
-43.00967,490,1183.94432
-43.00967,490,1183.94433
-43.00967,490,1183.944341
-43.00967,490,1183.944351
-43.00967,490,1183.944361
-43.00967,490,1183.944372
-43.00967,490,1183.944382
-43.00967,490,1183.944392
-43.00967,490,1183.944403
-43.00967,490,1183.944413
-43.00967,490,1183.944423
-43.00967,490,1183.944434
-43.00967,490,1183.944444
-43.00967,490,1183.944455
-43.00967,490,1183.944467
-43.00967,490,1331.870004
-43.00967,490,1331.870101
-43.00967,490,1331.870118
-43.00967,490,1331.870131
-43.00967,490,1331.870143
-43.00967,490,1331.870155
-43.00967,490,1331.870167
-43.00967,490,1331.870179
-43.00967,490,1331.870193
-43.00967,490,1331.870204
-43.00967,490,1331.870217
-43.00967,490,1331.870228
-43.00967,490,1331.87024
-43.00967,490,1331.870252
-43.00967,490,1331.870263
-43.00967,490,1331.870274
-43.00967,490,1331.870284
-43.00967,490,1331.870295
-43.00967,490,1331.870306
-43.00967,490,1331.870318
-43.00967,490,1331.870329
-43.00967,490,1331.87034
-43.00967,490,1331.870351
-43.00967,490,1331.870363
-43.00967,490,1331.870374
-43.00967,490,1331.870386
-43.00967,490,1331.870397
-43.00967,490,1331.870408
-43.00967,490,1331.870418
-43.00967,490,1331.870429
-43.00967,490,1331.87044
-43.00967,490,1331.87045
-43.00967,490,1331.870462
-43.00967,490,1331.870473
-43.00967,490,1331.870483
-43.00967,490,1331.870494
-43.00967,490,1331.870505
-43.00967,490,1331.870517
-43.00967,490,1331.870529
-43.00967,490,1331.87054
-43.00967,490,1331.870551
-43.00967,490,1331.870561
-43.00967,490,1331.870572
-43.00967,490,1331.870582
-43.00967,490,1331.870593
-43.00967,490,1331.870605
-43.00967,490,1331.870615
-43.00967,490,1331.870626
-43.00967,490,1331.870637
-43.00967,490,1331.870648
-43.00967,490,1331.870658
-43.00967,490,1331.870669
-43.00967,490,1331.870681
-43.00967,490,1331.870691
-43.00967,490,1331.870701
-43.00967,490,1331.870712
-43.00967,490,1331.870723
-43.00967,490,1331.870733
-43.00967,490,1331.870745
-43.00967,490,1331.870756
-43.00967,490,1331.870766
-43.00967,490,1331.870777
-43.00967,490,1331.870787
-43.00967,490,1331.870797
-43.00967,490,1480.486704
-43.00967,490,1480.486796
-43.00967,490,1480.486812
-43.00967,490,1480.486825
-43.00967,490,1480.486836
-43.00967,490,1480.486847
-43.00967,490,1480.486857
-43.00967,490,1480.486868
-43.00967,490,1480.486879
-43.00967,490,1480.486891
-43.00967,490,1480.486901
-43.00967,490,1480.486911
-43.00967,490,1480.486922
-43.00967,490,1480.486933
-43.00967,490,1480.486943
-43.00967,490,1480.486956
-43.00967,490,1480.486967
-43.00967,490,1480.486977
-43.00967,490,1480.486988
-43.00967,490,1480.486999
-43.00967,490,1480.487009
-43.00967,490,1480.487021
-43.00967,490,1480.487032
-43.00967,490,1480.487043
-43.00967,490,1480.487053
-43.00967,490,1480.487064
-43.00967,490,1480.487081
-43.00967,490,1480.487092
-43.00967,490,1480.487104
-43.00967,490,1480.487115
-43.00967,490,1480.487126
-43.00967,490,1480.487136
-43.00967,490,1480.487147
-43.00967,490,1480.487158
-43.00967,490,1480.48717
-43.00967,490,1480.48718
-43.00967,490,1480.48719
-43.00967,490,1480.487201
-43.00967,490,1480.487213
-43.00967,490,1480.487223
-43.00967,490,1480.487234
-43.00967,490,1480.487246
-43.00967,490,1480.487256
-43.00967,490,1480.487267
-43.00967,490,1480.487277
-43.00967,490,1480.487305
-43.00967,490,1480.487318
-43.00967,490,1480.487329
-43.00967,490,1480.48734
-43.00967,490,1480.487351
-43.00967,490,1480.487361
-43.00967,490,1480.487372
-43.00967,490,1480.487383
-43.00967,490,1480.487395
-43.00967,490,1480.487406
-43.00967,490,1480.487416
-43.00967,490,1480.487427
-43.00967,490,1480.487437
-43.00967,490,1480.487448
-43.00967,490,1480.48746
-43.00967,490,1480.48747
-43.00967,490,1480.487481
-43.00967,490,1480.487491
-43.00967,490,1480.487502
-43.00967,490,1628.759969
-43.00967,490,1628.760071
-43.00967,490,1628.760089
-43.00967,490,1628.760103
-43.00967,490,1628.760114
-43.00967,490,1628.760124
-43.00967,490,1628.760135
-43.00967,490,1628.760146
-43.00967,490,1628.760157
-43.00967,490,1628.760168
-43.00967,490,1628.760179
-43.00967,490,1628.76019
-43.00967,490,1628.760201
-43.00967,490,1628.760212
-43.00967,490,1628.760222
-43.00967,490,1628.760233
-43.00967,490,1628.760244
-43.00967,490,1628.760256
-43.00967,490,1628.760267
-43.00967,490,1628.760277
-43.00967,490,1628.760288
-43.00967,490,1628.760299
-43.00967,490,1628.760309
-43.00967,490,1628.760319
-43.00967,490,1628.76033
-43.00967,490,1628.760341
-43.00967,490,1628.760352
-43.00967,490,1628.760363
-43.00967,490,1628.760373
-43.00967,490,1628.760384
-43.00967,490,1628.760394
-43.00967,490,1628.760405
-43.00967,490,1628.760416
-43.00967,490,1628.760427
-43.00967,490,1628.760439
-43.00967,490,1628.76045
-43.00967,490,1628.76046
-43.00967,490,1628.760471
-43.00967,490,1628.760482
-43.00967,490,1628.760493
-43.00967,490,1628.760503
-43.00967,490,1628.760514
-43.00967,490,1628.760525
-43.00967,490,1628.760536
-43.00967,490,1628.760547
-43.00967,490,1628.760557
-43.00967,490,1628.760568
-43.00967,490,1628.760578
-43.00967,490,1628.760589
-43.00967,490,1628.760599
-43.00967,490,1628.76061
-43.00967,490,1628.760621
-43.00967,490,1628.760631
-43.00967,490,1628.760642
-43.00967,490,1628.760652
-43.00967,490,1628.760663
-43.00967,490,1628.760673
-43.00967,490,1628.760683
-43.00967,490,1628.760693
-43.00967,490,1628.760703
-43.00967,490,1628.760715
-43.00967,490,1628.760728
-43.00967,490,1628.76074
-43.00967,490,1628.760752
-43.00967,490,1777.1767
-43.00967,490,1777.176795
-43.00967,490,1777.176812
-43.00967,490,1777.176825
-43.00967,490,1777.176837
-43.00967,490,1777.176848
-43.00967,490,1777.17686
-43.00967,490,1777.176871
-43.00967,490,1777.176882
